Country,Month,Total Passengers
Colombia,12/01/2020,206845
Ecuador,12/01/2020,67199
Jamaica,12/01/2020,144491
Costa Rica,12/01/2020,115250
Bahamas,12/01/2020,38687
Mexico,12/01/2020,1773507
Argentina,12/01/2020,33351
Germany,12/01/2020,93618
Italy,12/01/2020,4462
France,12/01/2020,59435
Netherlands,12/01/2020,83023
Aruba,12/01/2020,64964
Atlantic Ocean,12/01/2020,6227
Taiwan,12/01/2020,15833
Trinidad and Tobago,12/01/2020,1247
New Zealand,12/01/2020,3299
Cayman Islands,12/01/2020,1333
Australia,12/01/2020,5602
Honduras,12/01/2020,34380
Belgium,12/01/2020,14326
Denmark,12/01/2020,4876
China,12/01/2020,14072
Israel,12/01/2020,26700
Russia,12/01/2020,14415
United Arab Emirates,11/01/2020,42043
Spain,11/01/2020,6422
Ireland,11/01/2020,7828
New Zealand,11/01/2020,2755
Cayman Islands,11/01/2020,1151
Russia,11/01/2020,9438
Australia,11/01/2020,5610
Taiwan,11/01/2020,19918
Argentina,11/01/2020,20100
Trinidad and Tobago,11/01/2020,631
Denmark,11/01/2020,3322
Philippines,11/01/2020,12936
Belgium,11/01/2020,7476
Italy,11/01/2020,4250
Iceland,11/01/2020,839
Chile,11/01/2020,28998
Switzerland,11/01/2020,6141
Israel,11/01/2020,25482
France,11/01/2020,30060
Haiti,11/01/2020,49175
Aruba,11/01/2020,56888
Atlantic Ocean,11/01/2020,7771
Guatemala,11/01/2020,48962
Germany,11/01/2020,63792
Mexico,11/01/2020,1459180
Jamaica,11/01/2020,104764
Ecuador,11/01/2020,56354
Dominican Republic,11/01/2020,305581
Antilles,11/01/2020,14588
China,11/01/2020,17768
Hong Kong,11/01/2020,5099
South Korea,11/01/2020,49899
Netherlands,11/01/2020,54718
Canada,11/01/2020,130915
El Salvador,11/01/2020,81845
Bahamas,11/01/2020,19630
Peru,11/01/2020,29299
Costa Rica,11/01/2020,66217
Panama,11/01/2020,12558
Honduras,11/01/2020,21888
Brazil,11/01/2020,38203
Colombia,11/01/2020,136852
Turkey,11/01/2020,75974
Japan,11/01/2020,35833
United Kingdom,11/01/2020,63038
Chile,10/01/2020,18974
Italy,10/01/2020,4517
Cayman Islands,10/01/2020,916
New Zealand,10/01/2020,2876
Russia,10/01/2020,8808
Denmark,10/01/2020,3730
