Country,Month,Total Passengers
Brazil,03/01/2008,211240
Taiwan,03/01/2008,214569
Hong Kong,02/01/2008,151662
Netherlands,02/01/2008,294880
Panama,02/01/2008,111861
Chile,02/01/2008,64874
Germany,02/01/2008,614705
Argentina,02/01/2008,112378
Spain,02/01/2008,108884
Bahamas,02/01/2008,227068
Brazil,02/01/2008,198376
France,02/01/2008,344362
Antilles,02/01/2008,95136
Costa Rica,02/01/2008,203952
Ireland,02/01/2008,120836
Ecuador,02/01/2008,66263
Aruba,02/01/2008,104528
Israel,02/01/2008,84010
Jamaica,02/01/2008,220574
Italy,02/01/2008,120255
Dominican Republic,02/01/2008,330982
Haiti,02/01/2008,63985
Belgium,02/01/2008,50746
New Zealand,02/01/2008,71084
Venezuela,02/01/2008,83680
El Salvador,02/01/2008,87265
Honduras,02/01/2008,54152
China,02/01/2008,134647
Philippines,02/01/2008,62923
United Arab Emirates,02/01/2008,56287
Colombia,02/01/2008,115792
Russia,02/01/2008,23813
Taiwan,02/01/2008,176864
Iceland,02/01/2008,20784
Cayman Islands,02/01/2008,62560
Trinidad and Tobago,02/01/2008,59264
Atlantic Ocean,02/01/2008,39201
Denmark,02/01/2008,44361
Peru,02/01/2008,98006
Switzerland,02/01/2008,107957
South Korea,02/01/2008,258224
Turkey,02/01/2008,18583
Japan,02/01/2008,879234
Australia,02/01/2008,125576
United Kingdom,02/01/2008,1078705
Canada,02/01/2008,1900186
Guatemala,02/01/2008,82551
Mexico,02/01/2008,1679917
Turkey,01/01/2008,23557
New Zealand,01/01/2008,82196
Israel,01/01/2008,109652
Atlantic Ocean,01/01/2008,35364
Haiti,01/01/2008,71202
South Korea,01/01/2008,385606
Bahamas,01/01/2008,225954
Japan,01/01/2008,986537
El Salvador,01/01/2008,76841
Venezuela,01/01/2008,107665
Denmark,01/01/2008,46399
Philippines,01/01/2008,80375
Colombia,01/01/2008,178223
Russia,01/01/2008,31346
Dominican Republic,01/01/2008,356204
Trinidad and Tobago,01/01/2008,68367
Panama,01/01/2008,121138
Iceland,01/01/2008,20786
Honduras,01/01/2008,52390
Jamaica,01/01/2008,156689
Peru,01/01/2008,101297
Brazil,01/01/2008,255531
Italy,01/01/2008,161987
Guatemala,01/01/2008,99934
Hong Kong,01/01/2008,176414
China,01/01/2008,173365
Spain,01/01/2008,123992
Belgium,01/01/2008,57088
Cayman Islands,01/01/2008,61463
Aruba,01/01/2008,101766
United Arab Emirates,01/01/2008,73538
France,01/01/2008,424165
Costa Rica,01/01/2008,223825
Chile,01/01/2008,70429
Argentina,01/01/2008,114635
Antilles,01/01/2008,89188
Germany,01/01/2008,686080
Switzerland,01/01/2008,127673
Australia,01/01/2008,146389
Taiwan,01/01/2008,224046
Mexico,01/01/2008,1782076
Ecuador,01/01/2008,72724
Ireland,01/01/2008,131148
United Kingdom,01/01/2008,1198650
Canada,01/01/2008,1803071
Netherlands,01/01/2008,340537
Antilles,12/01/2007,83778
Trinidad and Tobago,12/01/2007,65071
Netherlands,12/01/2007,375333
Jamaica,12/01/2007,260939
Australia,12/01/2007,143477
Aruba,12/01/2007,96637
Atlantic Ocean,12/01/2007,47591
Taiwan,12/01/2007,204823
United Kingdom,12/01/2007,1420536
Haiti,12/01/2007,72071
United Arab Emirates,12/01/2007,77453
Panama,12/01/2007,103628
Japan,12/01/2007,963010
Peru,12/01/2007,98250
Germany,12/01/2007,710642
Mexico,12/01/2007,1787044
China,12/01/2007,161256
Brazil,12/01/2007,220683
Venezuela,12/01/2007,116144
Belgium,12/01/2007,64077
Costa Rica,12/01/2007,195132
Spain,12/01/2007,144931
Turkey,12/01/2007,23892
El Salvador,12/01/2007,128045
France,12/01/2007,470289
South Korea,12/01/2007,273197
Israel,12/01/2007,105109
Philippines,12/01/2007,73164
Chile,12/01/2007,62830
Colombia,12/01/2007,175131
Ecuador,12/01/2007,69731
Cayman Islands,12/01/2007,61845
Dominican Republic,12/01/2007,334436
Bahamas,12/01/2007,245152
Honduras,12/01/2007,66197
Hong Kong,12/01/2007,179358
Canada,12/01/2007,1783257
Ireland,12/01/2007,163106
Iceland,12/01/2007,26632
Russia,12/01/2007,33555
Denmark,12/01/2007,47509
Argentina,12/01/2007,105339
Italy,12/01/2007,179144
Switzerland,12/01/2007,137224
New Zealand,12/01/2007,88159
Guatemala,12/01/2007,122405
Netherlands,11/01/2007,363711
Canada,11/01/2007,1675295
Philippines,11/01/2007,58847
Belgium,11/01/2007,59058
New Zealand,11/01/2007,64703
Honduras,11/01/2007,48603
Denmark,11/01/2007,49520
Cayman Islands,11/01/2007,58243
Spain,11/01/2007,150963
Haiti,11/01/2007,58212
Chile,11/01/2007,52207
Russia,11/01/2007,30394
Hong Kong,11/01/2007,181453
Switzerland,11/01/2007,121048
France,11/01/2007,448659
Atlantic Ocean,11/01/2007,58406
Peru,11/01/2007,91895
Turkey,11/01/2007,23508
Iceland,11/01/2007,30289
Trinidad and Tobago,11/01/2007,55551
Panama,11/01/2007,83354
Argentina,11/01/2007,92669
China,11/01/2007,162100
Guatemala,11/01/2007,110954
Italy,11/01/2007,185970
South Korea,11/01/2007,255205
Venezuela,11/01/2007,104399
Ecuador,11/01/2007,59323
Antilles,11/01/2007,74267
Colombia,11/01/2007,126047
Taiwan,11/01/2007,192061
Australia,11/01/2007,134400
Israel,11/01/2007,103721
Jamaica,11/01/2007,221032
El Salvador,11/01/2007,102288
United Arab Emirates,11/01/2007,58542
Bahamas,11/01/2007,213032
United Kingdom,11/01/2007,1361426
Aruba,11/01/2007,95976
Germany,11/01/2007,685310
Mexico,11/01/2007,1515443
Japan,11/01/2007,945604
Brazil,11/01/2007,196925
Ireland,11/01/2007,183713
Costa Rica,11/01/2007,152150
Dominican Republic,11/01/2007,282581
United Arab Emirates,10/01/2007,57175
Costa Rica,10/01/2007,111820
Chile,10/01/2007,47405
El Salvador,10/01/2007,85947
Venezuela,10/01/2007,98864
Ecuador,10/01/2007,62901
Taiwan,10/01/2007,188837
Jamaica,10/01/2007,186530
Australia,10/01/2007,144421
United Kingdom,10/01/2007,1501084
Bahamas,10/01/2007,181851
Trinidad and Tobago,10/01/2007,52433
Peru,10/01/2007,95909
Brazil,10/01/2007,190329
Hong Kong,10/01/2007,183997
Panama,10/01/2007,76960
Cayman Islands,10/01/2007,39701
Belgium,10/01/2007,70103
Denmark,10/01/2007,65953
Russia,10/01/2007,34175
Japan,10/01/2007,974249
Aruba,10/01/2007,90088
Dominican Republic,10/01/2007,253390
South Korea,10/01/2007,262871
Haiti,10/01/2007,53898
Atlantic Ocean,10/01/2007,62269
Switzerland,10/01/2007,141445
Italy,10/01/2007,291937
Colombia,10/01/2007,122889
Philippines,10/01/2007,57597
Guatemala,10/01/2007,88469
Spain,10/01/2007,191837
China,10/01/2007,186017
Germany,10/01/2007,854656
Turkey,10/01/2007,29077
Iceland,10/01/2007,36079
Netherlands,10/01/2007,431033
France,10/01/2007,523910
Honduras,10/01/2007,43942
Antilles,10/01/2007,54531
Israel,10/01/2007,113128
New Zealand,10/01/2007,65855
Mexico,10/01/2007,1283621
Argentina,10/01/2007,92689
Canada,10/01/2007,1759163
Ireland,10/01/2007,204921
Colombia,09/01/2007,127235
Guatemala,09/01/2007,77529
El Salvador,09/01/2007,88192
Peru,09/01/2007,94103
Netherlands,09/01/2007,436691
Canada,09/01/2007,1740878
Turkey,09/01/2007,33270
France,09/01/2007,570831
Atlantic Ocean,09/01/2007,58198
Switzerland,09/01/2007,141286
Brazil,09/01/2007,182441
Haiti,09/01/2007,65592
Jamaica,09/01/2007,165564
Denmark,09/01/2007,69411
Belgium,09/01/2007,72941
United Arab Emirates,09/01/2007,55650
New Zealand,09/01/2007,79337
Hong Kong,09/01/2007,172444
Honduras,09/01/2007,48121
Philippines,09/01/2007,56962
Argentina,09/01/2007,87622
Australia,09/01/2007,141367
Trinidad and Tobago,09/01/2007,56458
Taiwan,09/01/2007,197694
Dominican Republic,09/01/2007,269923
Germany,09/01/2007,877188
Aruba,09/01/2007,74707
Panama,09/01/2007,79117
Spain,09/01/2007,195305
Cayman Islands,09/01/2007,34120
Costa Rica,09/01/2007,112325
Ireland,09/01/2007,207754
Israel,09/01/2007,97658
Antilles,09/01/2007,44407
Italy,09/01/2007,316114
China,09/01/2007,180057
Japan,09/01/2007,1002321
Mexico,09/01/2007,1097041
South Korea,09/01/2007,271421
Iceland,09/01/2007,38207
Bahamas,09/01/2007,150419
Russia,09/01/2007,41016
Chile,09/01/2007,48993
Ecuador,09/01/2007,64581
Venezuela,09/01/2007,103626
United Kingdom,09/01/2007,1514865
Belgium,08/01/2007,77898
Honduras,08/01/2007,75890
Colombia,08/01/2007,163753
Guatemala,08/01/2007,113851
Taiwan,08/01/2007,229286
Haiti,08/01/2007,95412
Hong Kong,08/01/2007,194882
Bahamas,08/01/2007,315542
Argentina,08/01/2007,91950
United Arab Emirates,08/01/2007,71710
Dominican Republic,08/01/2007,445647
Brazil,08/01/2007,206821
Philippines,08/01/2007,66502
Chile,08/01/2007,51220
Ecuador,08/01/2007,86400
United Kingdom,08/01/2007,1679191
Venezuela,08/01/2007,102153
France,08/01/2007,624465
Cayman Islands,08/01/2007,59716
Costa Rica,08/01/2007,177776
Italy,08/01/2007,331230
South Korea,08/01/2007,336275
Switzerland,08/01/2007,162498
Iceland,08/01/2007,53730
China,08/01/2007,204880
Mexico,08/01/2007,1640899
Canada,08/01/2007,2088877
New Zealand,08/01/2007,62984
Denmark,08/01/2007,83440
Japan,08/01/2007,1135195
Russia,08/01/2007,42948
Israel,08/01/2007,144643
El Salvador,08/01/2007,133378
Spain,08/01/2007,214127
Trinidad and Tobago,08/01/2007,75064
Australia,08/01/2007,138885
Antilles,08/01/2007,74783
Germany,08/01/2007,926291
Atlantic Ocean,08/01/2007,94946
Turkey,08/01/2007,38353
Jamaica,08/01/2007,286435
Netherlands,08/01/2007,461975
Ireland,08/01/2007,245407
Aruba,08/01/2007,101873
Panama,08/01/2007,108222
Peru,08/01/2007,109569
Switzerland,07/01/2007,167570
Argentina,07/01/2007,94570
Haiti,07/01/2007,94791
Aruba,07/01/2007,101592
Ireland,07/01/2007,252337
Colombia,07/01/2007,184430
Turkey,07/01/2007,36917
China,07/01/2007,202447
Atlantic Ocean,07/01/2007,87068
Bahamas,07/01/2007,316511
Chile,07/01/2007,55220
Venezuela,07/01/2007,98885
El Salvador,07/01/2007,140513
United Arab Emirates,07/01/2007,72253
Spain,07/01/2007,222248
Peru,07/01/2007,115691
Japan,07/01/2007,1062265
Hong Kong,07/01/2007,200318
South Korea,07/01/2007,318586
Italy,07/01/2007,349419
Dominican Republic,07/01/2007,465658
Canada,07/01/2007,1985434
United Kingdom,07/01/2007,1683220
Denmark,07/01/2007,86513
Ecuador,07/01/2007,86050
Taiwan,07/01/2007,232806
Russia,07/01/2007,44253
Honduras,07/01/2007,81029
Germany,07/01/2007,968337
Netherlands,07/01/2007,462707
Brazil,07/01/2007,231898
Israel,07/01/2007,139030
Trinidad and Tobago,07/01/2007,73182
Cayman Islands,07/01/2007,63139
Australia,07/01/2007,153980
Iceland,07/01/2007,55710
Belgium,07/01/2007,83836
Guatemala,07/01/2007,125622
Mexico,07/01/2007,1838889
Costa Rica,07/01/2007,199007
Antilles,07/01/2007,82966
France,07/01/2007,658996
New Zealand,07/01/2007,59371
Jamaica,07/01/2007,326461
Panama,07/01/2007,115817
Philippines,07/01/2007,77877
Netherlands,06/01/2007,427475
Atlantic Ocean,06/01/2007,82533
Venezuela,06/01/2007,87701
Ecuador,06/01/2007,76849
Ireland,06/01/2007,230452
Japan,06/01/2007,1030120
Antilles,06/01/2007,72418
Aruba,06/01/2007,87001
Costa Rica,06/01/2007,172648
Israel,06/01/2007,127885
Canada,06/01/2007,1791734
Cayman Islands,06/01/2007,58114
Argentina,06/01/2007,82271
Taiwan,06/01/2007,215949
United Kingdom,06/01/2007,1678913
Spain,06/01/2007,217678
Mexico,06/01/2007,1606899
Panama,06/01/2007,95178
Chile,06/01/2007,41924
France,06/01/2007,616563
Belgium,06/01/2007,79535
Guatemala,06/01/2007,107608
Colombia,06/01/2007,161661
Germany,06/01/2007,927190
Australia,06/01/2007,143856
United Arab Emirates,06/01/2007,65549
Peru,06/01/2007,94015
China,06/01/2007,193416
Hong Kong,06/01/2007,198791
Haiti,06/01/2007,64626
Iceland,06/01/2007,53938
Brazil,06/01/2007,197860
Trinidad and Tobago,06/01/2007,57727
El Salvador,06/01/2007,116347
Italy,06/01/2007,352681
Jamaica,06/01/2007,249130
Switzerland,06/01/2007,151467
Turkey,06/01/2007,33042
Denmark,06/01/2007,81621
South Korea,06/01/2007,308564
Dominican Republic,06/01/2007,383298
Russia,06/01/2007,43852
Honduras,06/01/2007,69733
Bahamas,06/01/2007,282047
New Zealand,06/01/2007,77280
Philippines,06/01/2007,74013
Argentina,05/01/2007,86431
Canada,05/01/2007,1790849
Dominican Republic,05/01/2007,321874
Honduras,05/01/2007,48164
New Zealand,05/01/2007,59025
Ireland,05/01/2007,172180
France,05/01/2007,560967
Venezuela,05/01/2007,86193
Mexico,05/01/2007,1503041
Aruba,05/01/2007,79178
Panama,05/01/2007,78776
Trinidad and Tobago,05/01/2007,49044
China,05/01/2007,188954
Russia,05/01/2007,39043
Jamaica,05/01/2007,230751
Spain,05/01/2007,184411
Guatemala,05/01/2007,87703
Germany,05/01/2007,897765
Iceland,05/01/2007,38961
Belgium,05/01/2007,67947
United Arab Emirates,05/01/2007,47389
Cayman Islands,05/01/2007,53912
Brazil,05/01/2007,187452
Netherlands,05/01/2007,416925
Costa Rica,05/01/2007,138381
Atlantic Ocean,05/01/2007,76661
Colombia,05/01/2007,126773
Haiti,05/01/2007,54512
Switzerland,05/01/2007,137084
Philippines,05/01/2007,77652
El Salvador,05/01/2007,97161
Ecuador,05/01/2007,68222
Australia,05/01/2007,131394
Israel,05/01/2007,108854
Hong Kong,05/01/2007,192509
Chile,05/01/2007,34908
United Kingdom,05/01/2007,1503623
Denmark,05/01/2007,69849
Bahamas,05/01/2007,258991
Italy,05/01/2007,286325
Taiwan,05/01/2007,207195
South Korea,05/01/2007,288253
Turkey,05/01/2007,27411
Peru,05/01/2007,94474
Japan,05/01/2007,972476
Antilles,05/01/2007,70332
Dominican Republic,04/01/2007,366757
Peru,04/01/2007,92578
Russia,04/01/2007,31689
El Salvador,04/01/2007,107532
United Kingdom,04/01/2007,1479005
Ireland,04/01/2007,146037
Iceland,04/01/2007,32095
France,04/01/2007,521975
Bahamas,04/01/2007,298952
Haiti,04/01/2007,56418
Turkey,04/01/2007,24872
China,04/01/2007,166666
Mexico,04/01/2007,1737484
Netherlands,04/01/2007,394234
Cayman Islands,04/01/2007,63711
Ecuador,04/01/2007,66325
Guatemala,04/01/2007,91354
Denmark,04/01/2007,58960
Costa Rica,04/01/2007,172199
Jamaica,04/01/2007,259025
United Arab Emirates,04/01/2007,49946
Aruba,04/01/2007,102001
Colombia,04/01/2007,119757
Atlantic Ocean,04/01/2007,63214
Canada,04/01/2007,1784967
Australia,04/01/2007,147714
Antilles,04/01/2007,90186
New Zealand,04/01/2007,64184
Honduras,04/01/2007,53760
Japan,04/01/2007,899368
Brazil,04/01/2007,182175
Italy,04/01/2007,226783
Philippines,04/01/2007,74145
Germany,04/01/2007,770361
Belgium,04/01/2007,61643
Venezuela,04/01/2007,87679
Trinidad and Tobago,04/01/2007,51124
Hong Kong,04/01/2007,179460
Israel,04/01/2007,96280
Spain,04/01/2007,153436
Taiwan,04/01/2007,159890
Chile,04/01/2007,35976
Switzerland,04/01/2007,131090
Argentina,04/01/2007,93093
Panama,04/01/2007,80609
South Korea,04/01/2007,253829
Switzerland,03/01/2007,128722
Turkey,03/01/2007,22600
Spain,03/01/2007,137919
Antilles,03/01/2007,96257
Trinidad and Tobago,03/01/2007,48040
Peru,03/01/2007,105491
Australia,03/01/2007,147195
Ecuador,03/01/2007,77350
New Zealand,03/01/2007,81783
Israel,03/01/2007,107682
Russia,03/01/2007,29108
Panama,03/01/2007,94377
Honduras,03/01/2007,61213
Ireland,03/01/2007,140840
Germany,03/01/2007,739486
Cayman Islands,03/01/2007,70012
China,03/01/2007,144733
Aruba,03/01/2007,102593
Atlantic Ocean,03/01/2007,49311
Hong Kong,03/01/2007,190149
Chile,03/01/2007,52861
France,03/01/2007,486980
Haiti,03/01/2007,51567
Colombia,03/01/2007,123390
Netherlands,03/01/2007,373948
Belgium,03/01/2007,59881
Italy,03/01/2007,181771
Japan,03/01/2007,1071588
Canada,03/01/2007,1978730
Argentina,03/01/2007,104019
Mexico,03/01/2007,1893454
Denmark,03/01/2007,61001
United Kingdom,03/01/2007,1401586
Venezuela,03/01/2007,87781
Jamaica,03/01/2007,238710
Philippines,03/01/2007,72868
Taiwan,03/01/2007,205577
South Korea,03/01/2007,259929
El Salvador,03/01/2007,109495
United Arab Emirates,03/01/2007,41557
Brazil,03/01/2007,192369
Dominican Republic,03/01/2007,368446
Iceland,03/01/2007,27166
Bahamas,03/01/2007,298712
Guatemala,03/01/2007,94166
Costa Rica,03/01/2007,204166
Costa Rica,02/01/2007,172683
Russia,02/01/2007,22079
Colombia,02/01/2007,103437
Belgium,02/01/2007,45285
Denmark,02/01/2007,44581
Taiwan,02/01/2007,176919
Cayman Islands,02/01/2007,55255
Argentina,02/01/2007,99159
Chile,02/01/2007,51200
Canada,02/01/2007,1691527
Atlantic Ocean,02/01/2007,36390
El Salvador,02/01/2007,87618
United Kingdom,02/01/2007,1034705
Switzerland,02/01/2007,94222
Turkey,02/01/2007,16755
New Zealand,02/01/2007,69462
Bahamas,02/01/2007,218241
Iceland,02/01/2007,14934
Venezuela,02/01/2007,73725
Haiti,02/01/2007,44397
South Korea,02/01/2007,231993
Japan,02/01/2007,911093
Mexico,02/01/2007,1512107
Ireland,02/01/2007,100218
Netherlands,02/01/2007,276426
France,02/01/2007,343325
Germany,02/01/2007,539338
Antilles,02/01/2007,82203
Brazil,02/01/2007,188183
Guatemala,02/01/2007,73273
Ecuador,02/01/2007,63511
Italy,02/01/2007,114803
Trinidad and Tobago,02/01/2007,44481
Australia,02/01/2007,131354
Israel,02/01/2007,87214
Peru,02/01/2007,91047
Honduras,02/01/2007,46199
Panama,02/01/2007,90353
China,02/01/2007,124156
United Arab Emirates,02/01/2007,29646
Spain,02/01/2007,91095
Aruba,02/01/2007,84823
Dominican Republic,02/01/2007,297167
Philippines,02/01/2007,64221
Jamaica,02/01/2007,192973
Hong Kong,02/01/2007,151691
Guatemala,01/01/2007,100694
Switzerland,01/01/2007,116338
United Arab Emirates,01/01/2007,51963
Trinidad and Tobago,01/01/2007,46826
Venezuela,01/01/2007,101951
Colombia,01/01/2007,165059
Belgium,01/01/2007,53807
Ireland,01/01/2007,106532
China,01/01/2007,144159
South Korea,01/01/2007,251727
Honduras,01/01/2007,59790
Mexico,01/01/2007,1688811
Japan,01/01/2007,1019268
Antilles,01/01/2007,82224
Spain,01/01/2007,106454
Peru,01/01/2007,101381
Australia,01/01/2007,160213
Costa Rica,01/01/2007,195704
Italy,01/01/2007,147064
Israel,01/01/2007,108326
Atlantic Ocean,01/01/2007,37271
Netherlands,01/01/2007,329635
Argentina,01/01/2007,102102
Ecuador,01/01/2007,71585
Denmark,01/01/2007,49271
Bahamas,01/01/2007,212034
Russia,01/01/2007,30911
Canada,01/01/2007,1792547
Chile,01/01/2007,55764
Iceland,01/01/2007,19667
New Zealand,01/01/2007,81823
Germany,01/01/2007,624975
Dominican Republic,01/01/2007,351079
Cayman Islands,01/01/2007,54720
Panama,01/01/2007,103187
Hong Kong,01/01/2007,184071
Brazil,01/01/2007,239413
El Salvador,01/01/2007,116412
United Kingdom,01/01/2007,1214251
Aruba,01/01/2007,89251
Philippines,01/01/2007,76821
Turkey,01/01/2007,23508
Taiwan,01/01/2007,217133
Haiti,01/01/2007,48699
France,01/01/2007,418864
Jamaica,01/01/2007,146127
Honduras,12/01/2006,59754
Peru,12/01/2006,95020
Chile,12/01/2006,49745
United Arab Emirates,12/01/2006,49860
Germany,12/01/2006,657414
Mexico,12/01/2006,1732287
Panama,12/01/2006,93278
Antilles,12/01/2006,78956
Australia,12/01/2006,145812
Colombia,12/01/2006,164736
Brazil,12/01/2006,209802
El Salvador,12/01/2006,117180
Atlantic Ocean,12/01/2006,50228
Dominican Republic,12/01/2006,327292
Jamaica,12/01/2006,248755
Venezuela,12/01/2006,105569
Iceland,12/01/2006,27069
Spain,12/01/2006,120356
South Korea,12/01/2006,267097
Bahamas,12/01/2006,259304
Italy,12/01/2006,157885
Taiwan,12/01/2006,202113
United Kingdom,12/01/2006,1345402
Ecuador,12/01/2006,73066
China,12/01/2006,147291
Belgium,12/01/2006,58862
Russia,12/01/2006,31932
Japan,12/01/2006,989559
Canada,12/01/2006,1773137
Cayman Islands,12/01/2006,54626
France,12/01/2006,456180
Netherlands,12/01/2006,349657
New Zealand,12/01/2006,86710
Guatemala,12/01/2006,101737
Ireland,12/01/2006,139294
Costa Rica,12/01/2006,169131
Trinidad and Tobago,12/01/2006,46249
Haiti,12/01/2006,51161
Switzerland,12/01/2006,125423
Hong Kong,12/01/2006,172920
Turkey,12/01/2006,22442
Argentina,12/01/2006,98479
Israel,12/01/2006,99221
Denmark,12/01/2006,49609
Aruba,12/01/2006,87439
Philippines,12/01/2006,68201
United Kingdom,11/01/2006,1299575
Russia,11/01/2006,28890
Turkey,11/01/2006,19705
Spain,11/01/2006,118789
Bahamas,11/01/2006,229497
Hong Kong,11/01/2006,168370
Costa Rica,11/01/2006,121866
Aruba,11/01/2006,86357
Venezuela,11/01/2006,88044
France,11/01/2006,434582
Chile,11/01/2006,36754
Cayman Islands,11/01/2006,48002
Denmark,11/01/2006,49789
Japan,11/01/2006,979680
Panama,11/01/2006,75153
China,11/01/2006,148835
Dominican Republic,11/01/2006,276393
South Korea,11/01/2006,239837
Iceland,11/01/2006,28196
Ireland,11/01/2006,154015
Canada,11/01/2006,1610078
Taiwan,11/01/2006,186990
Switzerland,11/01/2006,103572
Belgium,11/01/2006,54124
Argentina,11/01/2006,93746
New Zealand,11/01/2006,60078
Netherlands,11/01/2006,333734
Australia,11/01/2006,131019
Haiti,11/01/2006,41295
El Salvador,11/01/2006,94626
Trinidad and Tobago,11/01/2006,37015
Israel,11/01/2006,94350
Philippines,11/01/2006,58205
Germany,11/01/2006,631409
Peru,11/01/2006,80774
Jamaica,11/01/2006,213821
Ecuador,11/01/2006,62103
Colombia,11/01/2006,115970
Atlantic Ocean,11/01/2006,57426
Antilles,11/01/2006,71074
Honduras,11/01/2006,41814
United Arab Emirates,11/01/2006,33543
Brazil,11/01/2006,170969
Italy,11/01/2006,167074
Mexico,11/01/2006,1421413
Guatemala,11/01/2006,90465
Belgium,10/01/2006,59138
Dominican Republic,10/01/2006,239369
Haiti,10/01/2006,41423
Honduras,10/01/2006,37737
Chile,10/01/2006,35862
Germany,10/01/2006,780729
Aruba,10/01/2006,80484
Panama,10/01/2006,67152
Israel,10/01/2006,109486
Antilles,10/01/2006,49291
Peru,10/01/2006,85325
Canada,10/01/2006,1701165
Guatemala,10/01/2006,71835
United Kingdom,10/01/2006,1383319
Mexico,10/01/2006,1195648
Hong Kong,10/01/2006,173074
Cayman Islands,10/01/2006,34284
China,10/01/2006,164134
Ireland,10/01/2006,179947
Turkey,10/01/2006,27441
Jamaica,10/01/2006,169964
Venezuela,10/01/2006,84970
El Salvador,10/01/2006,74109
Colombia,10/01/2006,107183
Switzerland,10/01/2006,125474
Taiwan,10/01/2006,176658
New Zealand,10/01/2006,64575
Philippines,10/01/2006,59296
Brazil,10/01/2006,173488
Japan,10/01/2006,1037313
Netherlands,10/01/2006,401705
Bahamas,10/01/2006,183068
Argentina,10/01/2006,88101
United Arab Emirates,10/01/2006,23455
Spain,10/01/2006,164015
Trinidad and Tobago,10/01/2006,38073
Iceland,10/01/2006,35736
Costa Rica,10/01/2006,90369
South Korea,10/01/2006,248872
France,10/01/2006,548551
Australia,10/01/2006,137364
Atlantic Ocean,10/01/2006,63131
Russia,10/01/2006,33425
Ecuador,10/01/2006,55725
Denmark,10/01/2006,66227
Italy,10/01/2006,264024
Switzerland,09/01/2006,130410
France,09/01/2006,573898
Russia,09/01/2006,39678
Philippines,09/01/2006,51344
Panama,09/01/2006,65928
Hong Kong,09/01/2006,157868
Guatemala,09/01/2006,63119
Costa Rica,09/01/2006,85533
Atlantic Ocean,09/01/2006,51411
Iceland,09/01/2006,41182
Mexico,09/01/2006,1008254
Aruba,09/01/2006,63963
United Arab Emirates,09/01/2006,25623
Venezuela,09/01/2006,97162
Peru,09/01/2006,83470
Brazil,09/01/2006,171106
Antilles,09/01/2006,39743
South Korea,09/01/2006,244651
Italy,09/01/2006,286475
Honduras,09/01/2006,38931
Chile,09/01/2006,37560
Taiwan,09/01/2006,171667
United Kingdom,09/01/2006,1963078
Bahamas,09/01/2006,145374
New Zealand,09/01/2006,79852
Germany,09/01/2006,818775
Ecuador,09/01/2006,60272
Japan,09/01/2006,1032636
Spain,09/01/2006,168973
Belgium,09/01/2006,64486
Jamaica,09/01/2006,162135
Canada,09/01/2006,1721360
Israel,09/01/2006,89749
Australia,09/01/2006,139277
China,09/01/2006,157430
Ireland,09/01/2006,186879
Haiti,09/01/2006,48261
El Salvador,09/01/2006,72396
Trinidad and Tobago,09/01/2006,40925
Argentina,09/01/2006,76500
Turkey,09/01/2006,31542
Colombia,09/01/2006,105848
Denmark,09/01/2006,70499
Netherlands,09/01/2006,408242
Cayman Islands,09/01/2006,29944
Dominican Republic,09/01/2006,248938
Trinidad and Tobago,08/01/2006,58837
Honduras,08/01/2006,60759
Japan,08/01/2006,1167741
Denmark,08/01/2006,75179
Hong Kong,08/01/2006,182266
Germany,08/01/2006,873364
Mexico,08/01/2006,1600451
Peru,08/01/2006,101564
Iceland,08/01/2006,54369
United Arab Emirates,08/01/2006,28668
Aruba,08/01/2006,89200
Philippines,08/01/2006,63378
Cayman Islands,08/01/2006,52756
Spain,08/01/2006,186372
Switzerland,08/01/2006,138728
Guatemala,08/01/2006,91691
China,08/01/2006,172555
Italy,08/01/2006,307911
Antilles,08/01/2006,67151
Netherlands,08/01/2006,423864
Colombia,08/01/2006,152621
Costa Rica,08/01/2006,138063
Brazil,08/01/2006,197044
South Korea,08/01/2006,319827
Israel,08/01/2006,121227
Canada,08/01/2006,2058638
France,08/01/2006,615307
Taiwan,08/01/2006,212197
Australia,08/01/2006,137533
New Zealand,08/01/2006,63894
United Kingdom,08/01/2006,1553235
Ecuador,08/01/2006,81837
Dominican Republic,08/01/2006,428141
El Salvador,08/01/2006,120235
Venezuela,08/01/2006,105922
Atlantic Ocean,08/01/2006,93244
Russia,08/01/2006,45674
Haiti,08/01/2006,67098
Jamaica,08/01/2006,299814
Ireland,08/01/2006,211961
Bahamas,08/01/2006,297807
Chile,08/01/2006,39212
Argentina,08/01/2006,81101
Turkey,08/01/2006,34433
Belgium,08/01/2006,67230
Panama,08/01/2006,91224
Trinidad and Tobago,07/01/2006,53024
France,07/01/2006,650429
Russia,07/01/2006,47572
Cayman Islands,07/01/2006,57424
Germany,07/01/2006,923208
Canada,07/01/2006,1979634
Mexico,07/01/2006,1839244
Hong Kong,07/01/2006,191382
Argentina,07/01/2006,83869
United Arab Emirates,07/01/2006,29386
Jamaica,07/01/2006,327681
Iceland,07/01/2006,53691
China,07/01/2006,175879
Philippines,07/01/2006,72292
Haiti,07/01/2006,69412
Panama,07/01/2006,101627
Aruba,07/01/2006,94757
Ireland,07/01/2006,222710
Denmark,07/01/2006,79868
Venezuela,07/01/2006,95049
Guatemala,07/01/2006,103687
Australia,07/01/2006,154484
South Korea,07/01/2006,292770
Costa Rica,07/01/2006,156682
Antilles,07/01/2006,84924
